Sent: b'[State, Race/Ethnicity, Age Group, First Year, Last Year, Rank, Cause of Death, Deaths]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 1, Unintentional Injury, 13947]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 10, Chronic Low. Respiratory Disease, 500]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 2, Congenital Anomalies, 4850]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 3, Homicide, 3796]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 4, Malignant Neoplasms, 3714]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 5, Heart Disease, 1548]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 6, Influenza & Pneumonia, 1130]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 7, Septicemia, 613]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 8, Perinatal Period, 536]' on port 9999.
Sent: b'[United States, All Races,, 1-4 yrs, 2010, 2020, 9, Cerebrovascular, 532]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 1, Unintentional Injury, 8912]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 10, Benign Neoplasms, 368]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 2, Malignant Neoplasms, 4792]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 3, Suicide, 4739]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 4, Homicide, 1912]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 5, Congenital Anomalies, 1792]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 6, Heart Disease, 1197]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 7, Chronic Low. Respiratory Disease, 833]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 8, Influenza & Pneumonia, 533]' on port 9999.
Sent: b'[United States, All Races,, 10-14 yrs, 2010, 2020, 9, Cerebrovascular, 526]' on port 9999.
Sent: b'[United States, All Races,, 15-24 yrs, 2010, 2020, 1, Unintentional Injury, 138761]' on port 9999.
Sent: b'[United States, All Races,, 15-24 yrs, 2010, 2020, 10, Cerebrovascular, 1852]' on port 9999.
Sent: b'[United States, All Races,, 15-24 yrs, 2010, 2020, 2, Suicide, 59955]' on port 9999.
Sent: b'[United States, All Races,, 15-24 yrs, 2010, 2020, 3, Homicide, 53003]' on port 9999.
Sent: b'[United States, All Races,, 15-24 yrs, 2010, 2020, 4, Malignant Neoplasms, 16193]' on port 9999.
